book_asin,parent_category,category,isbn_13,title,author,price,publication_date,publisher,rating,review_count
815340249,Programming Languages,Python,978-1788623322,Programmer's Guide to Apache Thrift,Randy Abernethy,55.95,2019-04-14,Manning,4.5,3
1449363636,Programming Languages,Java,978-1461426813,Spark: The Definitive Guide: Big Data Processing Made Simple,Bill Chambers,55.84,2018-04-03,O'Reilly Media,4.5,377
1642011347,Security & Encryption,Network Security,979-8373003704,"Stealing the Network: The Complete Series Collector's Edition, Final Chapter, and DVD",Johnny Long,55.78,2009-04-29,Syngress,4.7,30
1484288130,Computer Science,Computer Simulation,978-1789344523,"Pyomo ― Optimization Modeling in Python (Springer Optimization and Its Applications, 67)",Gabriel A. Hackebeil,55.77,2021-03-31,Springer,5,5
578012812,Programming Languages,Java,978-1733042642,Writing Compilers and Interpreters: A Software Engineering Approach,Ronald Mak,55.77,2009-09-28,Wiley,4.4,41
1800208723,Databases & Big Data,Data Processing,978-0134773650,"Streaming Systems: The What, Where, When, and How of Large-Scale Data Processing",Tyler Akidau,55.73,2018-08-14,O'Reilly Media,4.2,113
1800205694,Web Development & Design,Content Management,978-1801072311,"Nursing Leadership, Management, and Professional Practice for the LPN/LVN",Tamara R. Dahlkemper MSN RN,55.63,2021-02-18,F.A. Davis Company,4.8,43
1098107632,Databases & Big Data,Data Mining,978-1803237015,An Introduction to Machine Learning,Miroslav Kubat,55.53,2021-09-27,Springer,0,0
262518635,Databases & Big Data,Data Mining,978-1506363127,Data Quality Fundamentals: A Practitioner's Guide to Building Trustworthy Data Pipelines,Barr Moses,55.5,2022-10-11,O'Reilly Media,4.4,15
1447147685,Programming Languages,C#,978-1260463415,Beginning C# Object-Oriented Programming (Expert's Voice in .NET),Dan Clark,55.49,2013-03-29,Apress,4.2,22
1119581060,Security & Encryption,Network Security,978-0136820154,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,James Michael Stewart,55.48,2018-05-08,Sybex,4.6,896
B07RCCXHFW,Databases & Big Data,Oracle,978-1788627917,Oracle Database 12c Performance Tuning Recipes: A Problem-Solution Approach (Expert's Voice in Oracle),Sam Alapati,55.45,2014-01-21,Apress,4.6,9
1572308303,Programming Languages,C & C++,978-1524858346,Modern C++ Design: Generic Programming and Design Patterns Applied,Debbie Lafferty,55.41,2001-02-13,Addison-Wesley Professional,4.6,193
749496886,Databases & Big Data,Data Warehousing,978-1250306692,E-Logistics: Managing Digital Supply Chains for Competitive Advantage,Yingli Wang,55.4,2021-09-28,Kogan Page,5,2
194387302X,Programming Languages,C#,978-1558601901,Murach's ASP.NET Core MVC (2nd Edition),Murach,55.33,2022-12-05,Mike Murach & Associates,5,3
1934356921,Programming Languages,Python,978-3030834104,Python 3: The Comprehensive Guide to Hands-On Python Programming,Johannes Ernesti,55.32,2022-09-27,Rheinwerk Computing,4.5,23
135225485,Programming Languages,Python,978-1492085928,Spark: The Definitive Guide: Big Data Processing Made Simple,Bill Chambers,55.22,2018-04-03,O'Reilly Media,4.5,377
262535432,Programming Languages,Java,978-1119467472,Spark: The Definitive Guide: Big Data Processing Made Simple,Matei Zaharia,55.2,2018-04-03,O'Reilly Media,4.5,377
1098100964,Web Development & Design,Web Services,978-1803243665,Svelte and Sapper in Action,Mark Volkmann,55.19,2020-10-13,Manning,4.6,10
262539020,Programming Languages,Java,978-1107180567,Data Structures and Algorithms in Java,Robert Lafore,55.15,2002-11-06,Sams Publishing,4.6,386
1789341655,Programming Languages,Java,978-1119648468,"Concurrent Programming in Java : Design Principles and Pattern, 2nd Edition",Doug Lea,55.11,1999-10-25,Addison-Wesley Professional,4.2,53
1785780824,Databases & Big Data,Data Mining,978-0596004576,Practical Natural Language Processing: A Comprehensive Guide to Building Real-World NLP Systems,Sowmya Vajjala,55.01,2020-07-21,O'Reilly Media,4.2,150
72223847,Databases & Big Data,Oracle,978-0321194985,Oracle 9i Programming: A Primer,Rajshekhar Sunderraman,55,2003-06-02,Addison-Wesley Professional,5,4
133991024,Computer Science,Systems Analysis & Design,978-1789951288,Systems Analysis and Design (Shelly Cashman Series),Scott Tilley,55,2016-02-05,Cengage Learning,4.5,343
3319626884,Databases & Big Data,Data Modeling & Design,978-0387738208,"CompTIA Linux+ Certification All-in-One Exam Guide, Second Edition (Exam XK0-005)",Ted Jordan,55,2023-05-26,McGraw Hill TAB,0,0
72465638,Computer Science,Systems Analysis & Design,978-0262045490,Software Design for Flexibility: How to Avoid Programming Yourself into a Corner,Chris Hanson,55,2021-03-09,The MIT Press,4.3,111
1119850649,Databases & Big Data,Data Modeling & Design,978-0195106466,"Introduction to Computation and Programming Using Python, third edition: With Application to Computational Modeling and Understanding Data",John V. Guttag,55,2021-01-05,The MIT Press,4.6,128
1789952301,Programming Languages,Python,978-1118656464,"Introduction to Computation and Programming Using Python, third edition: With Application to Computational Modeling and Understanding Data",John V. Guttag,55,2021-01-05,The MIT Press,4.6,130
149192988X,Computer Science,AI & Machine Learning,978-1119216315,"Knowledge Graphs: Fundamentals, Techniques, and Applications (Adaptive Computation and Machine Learning series)",Mayank Kejriwal,55,2021-03-30,The MIT Press,4.3,48
385520816,Databases & Big Data,Oracle,978-1484233146,Oracle Database Problem Solving and Troubleshooting Handbook,Tariq Farooq,54.99,2016-04-18,Addison-Wesley Professional,3.8,7
1718502648,Programming Languages,C & C++,978-0316273800,"Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions",Herb Sutter,54.99,1999-11-18,Addison-Wesley Professional,4.3,81
1801813051,Databases & Big Data,Oracle,978-1423241881,Rapid Application Development with Oracle Designer/2000,Chris Billings,54.99,1996-10-01,Addison-Wesley Professional,4.7,3
B07P77NV2C,Databases & Big Data,Oracle,978-1617297939,Beginning Oracle Database 11g Administration: From Novice to Professional (Expert's Voice in Oracle),Ignatius Fernandez,54.99,2009-02-18,Apress,3.9,44
1491990082,Programming Languages,Python,978-0123848697,Deep Learning and the Game of Go,Max Pumperla,54.99,2019-01-25,Manning,4.4,49
1633430073,Programming Languages,Java,978-9813294486,"Modern Java in Action: Lambdas, streams, functional and reactive programming",Raoul-Gabriel Urma,54.99,2018-11-15,Manning,4.5,174
059600270X,Web Development & Design,Programming,978-0826145130,Amazon Web Services in Action,Andreas Wittig,54.99,2018-10-08,Manning,4.3,106
1800565798,Web Development & Design,Web Design,978-1783983285,Designing Multi-Device Experiences: An Ecosystem Approach to User Experiences across Devices,Michal Levin,54.99,2014-03-11,O'Reilly Media,4.2,85
3031004744,Programming Languages,Python,978-1580250184,"Python for Geospatial Data Analysis: Theory, Tools, and Practice for Location Intelligence",Bonny McClain,54.99,2022-11-29,O'Reilly Media,3.6,11
3319058576,Programming Languages,Python,978-1590282908,"Python for Geospatial Data Analysis: Theory, Tools, and Practice for Location Intelligence",Bonny McClain,54.99,2022-11-29,O'Reilly Media,3.5,10
137619138,Databases & Big Data,Oracle,978-1098117610,Oracle JD Edwards EnterpriseOne 9.0: Supply Chain Management Cookbook,Kashif Rasheed,54.99,2012-03-26,Packt Publishing,3.4,8
1449316174,Programming Languages,C & C++,978-1285856919,Mastering Graphics Programming with Vulkan: Develop a modern rendering engine from first principles to state-of-the-art techniques,Marco Castorina,54.99,2023-02-10,Packt Publishing,4.3,16
1789950694,Programming Languages,Python,978-0275967819,"Bioinformatics with Python Cookbook: Use modern Python libraries and applications to solve real-world computational biology problems, 3rd Edition",Tiago Antao,54.99,2022-09-27,Packt Publishing,4,9
1800561571,Programming Languages,C & C++,978-0131103627,"Blueprints Visual Scripting for Unreal Engine 5: Unleash the true power of Blueprints to create impressive games and applications in UE5, 3rd Edition",Marcos Romero,54.99,2022-05-02,Packt Publishing,4.3,45
1839216549,Databases & Big Data,Data Modeling & Design,978-1492081739,The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,David Ping,54.99,2022-01-21,Packt Publishing,4.6,42
111866146X,Programming Languages,Python,978-0812995381,"Deep Reinforcement Learning Hands-On: Apply modern RL methods to practical problems of chatbots, robotics, discrete optimization, web automation, and more, 2nd Edition",Maxim Lapan,54.99,2020-01-31,Packt Publishing,4.5,152
1305627482,Programming Languages,Java,978-1970001167,Developing Enterprise Web Services: An Architect's Guide: An Architect's Guide,James Webber,54.99,2003-11-14,Prentice Hall,4.4,12
128213795,Web Development & Design,Web Design,978-1933820101,Eye Tracking the User Experience: A Practical Guide to Research,Aga Bojko,54.99,2013-11-15,Rosenfeld Media,5,21
3030403432,Web Development & Design,User Experience & Usability,978-0387251462,"Design Beyond Devices: Creating Multimodal, Cross-Device Experiences",Erika Hall,54.99,2020-12-01,Rosenfeld Media,4.6,33
3540573410,Web Development & Design,Content Management,978-1801070539,Strategic Content Design: Tools and Research Techniques for Better UX,Janice (Ginny) Redish,54.99,2023-04-11,Rosenfeld Media,0,0
9814282642,Web Development & Design,User Experience & Usability,978-1284031621,Closing the Loop: Systems Thinking for Designers,Kevin Bethune,54.99,2023-02-21,Rosenfeld Media,0,0
71823077,Security & Encryption,Network Security,978-0735712652,Network Intrusion Detection,Judy Novak,54.99,2002-08-27,Sams Publishing,4.3,75
9811232334,Computer Science,Bioinformatics,978-3319944623,Mathematical Grammar of Biology (SpringerBriefs in Mathematics),Michel Eduardo Beleza Yamagishi,54.99,2017-09-08,Springer,0,0
648931633,Computer Science,Computer Simulation,978-1803232577,Software Defined Radio using MATLAB & Simulink and the RTL-SDR,Robert W Stewart,54.98,2015-09-11,Strathclyde Academic Media,4.6,35
262039516,Databases & Big Data,Data Processing,978-3319599922,"Topographic Laser Ranging and Scanning: Principles and Processing, Second Edition",Jie Shan,54.95,2023-01-21,CRC Press,4,1
262046938,Security & Encryption,Cryptography,978-0262047012,Discrete Encounters (Chapman & Hall/CRC Cryptography and Network Security Series),Craig Bauer,54.95,2023-01-21,CRC Press,5,1
367571978,Computer Science,AI & Machine Learning,978-0321143068,Multisensor Data Fusion and Machine Learning for Environmental Remote Sensing,Ni-Bin Chang,54.95,2020-06-30,CRC Press,5,1
387898816,Computer Science,AI & Machine Learning,978-1935504214,Machine Learning,Mohssen Mohammed,54.95,2020-06-30,CRC Press,3.9,2
1032475927,Security & Encryption,Network Security,978-0134659862,Cryptology: Classical and Modern (Chapman & Hall/CRC Cryptography and Network Security Series),Richard Klima,54.95,2023-01-21,CRC Press,5,2
9354491049,Security & Encryption,Encryption,978-1617295812,Cryptography: Theory and Practice (Textbooks in Mathematics),Douglas Robert Stinson,54.95,2023-01-21,CRC Press,4.2,15
1118792416,Web Development & Design,User Generated Content,978-1617296574,"Writing for Multimedia and the Web, Third Edition: A Practical Guide to Content Development for Interactive Media",Timothy Garrand,54.95,2006-08-04,Focal Press,4.1,17
1119527074,Web Development & Design,Website Analytics,978-1119685548,The Art of SEO: Mastering Search Engine Optimization,Eric Enge,54.95,2015-09-15,O'Reilly Media,4.4,245
1493224255,Databases & Big Data,Data Mining,978-0387943848,Event Mining (Chapman & Hall/CRC Data Mining and Knowledge Discovery Series),Tao Li,54.95,2020-06-30,Routledge,0,0
1593279663,Databases & Big Data,Data Processing,978-1457187087,Data for Journalists: A Practical Guide for Computer-Assisted Reporting,Brant Houston,54.95,2018-12-20,Routledge,4.7,16
1589486080,Programming Languages,Java,978-0470613030,"Core Java: Fundamentals, Volume 1 (Oracle Press Java)",Cay Horstmann,54.49,2021-12-21,Oracle Press,4.7,43
1119643813,Computer Science,Systems Analysis & Design,978-1492082798,Systems Performance (Addison-Wesley Professional Computing Series),Brendan Gregg,54.49,2020-12-16,Pearson,4.8,199
1071618172,Security & Encryption,Network Security,978-0974358420,Computer Security Fundamentals (Pearson IT Cybersecurity Curriculum (ITCC)),"II Easttom, William Chuck",54.49,2023-02-03,Pearson IT Certification,0,0
1484270886,Programming Languages,C & C++,978-1645646372,Professional C++,Marc Gregoire,54.47,2021-02-24,Wrox,4.7,111
1484255763,Web Development & Design,Content Management,978-1914481000,A Guide to the Project Management Body of Knowledge (PMBOK® Guide) – Seventh Edition and The Standard for Project Management (ENGLISH),Project Management Institute,54.45,2021-08-01,Project Management Institute,4.6,2655
013478796X,Computer Science,Systems Analysis & Design,978-1439856185,Head First Object-Oriented Analysis and Design,Brett D. McLaughlin,54.43,2006-12-19,O'Reilly Media,4.5,360
1492097845,Programming Languages,Python,978-1449399917,"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,54.38,2015-09-15,O'Reilly Media,4.7,709
977671534,Security & Encryption,Encryption,978-1801076807,"Bulletproof Wireless Security: GSM, UMTS, 802.11, and Ad Hoc Security (Communications Engineering (Paperback))",Praphul Chandra,54.37,2011-03-15,Newnes,3.9,3
546988520,Computer Science,AI & Machine Learning,978-1260456639,"Blockchain, Big Data and Machine Learning",Neeraj Kumar,54.2,2022-03-30,CRC Press,0,0
1788395085,Computer Science,Computer Simulation,978-1803236421,Modeling and Simulation in Scilab/Scicos with ScicosLab 4.4,Stephen L. Campbell,54.06,2009-12-21,Springer,4,14
1789132304,Computer Science,Computer Simulation,978-0134291079,Autodesk® Revit Basics Training Manual,Brian W. Clayton,54.02,2017-10-27,"Industrial Press, Inc.",4.2,31
1593276702,Security & Encryption,Encryption,978-1441902689,Cryptography Demystified,John Hershey,54,2002-09-13,McGraw Hill TAB,4.4,12
1718501560,Security & Encryption,Network Security,978-0133796827,"CompTIA A+ Certification All-in-One Exam Guide, Eleventh Edition (Exams 220-1101 & 220-1102) (The CompTIA A+ Certification All-In-One Exam Guides)",Travis Everett,54,2023-01-25,McGraw Hill TAB,4.3,31
596002998,Computer Science,AI & Machine Learning,978-1118037423,Human-in-the-Loop Machine Learning: Active learning and annotation for human-centered AI,Robert (Munro) Monarch,53.99,2021-07-20,Manning,4.4,17
1119575990,Computer Science,AI & Machine Learning,978-9389328660,Graph-Powered Machine Learning,Alessandro Nego,53.99,2021-09-28,Manning,4.5,10
1439861765,Web Development & Design,Programming,978-1803244792,"Microservices in .NET, Second Edition",Christian Horsdal Gammelgaard,53.99,2021-11-23,Manning,4.4,12
1803243104,Programming Languages,Python,978-1617297045,Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,Mike Cohen,53.99,2022-10-11,O'Reilly Media,4.5,14
B079JXBDG7,Programming Languages,Python,978-1032182223,Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,Mike Cohen,53.99,2022-10-11,O'Reilly Media,4.4,13
1337117560,Programming Languages,C & C++,978-1484286975,Embracing Modern C++ Safely,John Lakos,53.98,2021-12-23,Addison-Wesley Professional,4.4,24
1838983147,Web Development & Design,Content Management,978-1803235660,"JUnit in Action, Third Edition",Catalin Tudose,53.98,2020-12-08,Manning,4.4,12
691237255,Programming Languages,Ada,978-1556220784,"Ada 95 Rationale: The Language - The Standard Libraries (Lecture Notes in Computer Science, 1247)",John Barnes,53.72,1997-06-03,Springer,1,1
180461355X,Programming Languages,C & C++,978-1788627856,C++20 - The Complete Guide: First Edition,Nicolai M. Josuttis,53.69,2022-10-22,NicoJosuttis,4.4,9
1801071489,Computer Science,AI & Machine Learning,978-1617299711,Natural Language Processing with Python: Analyzing Text with the Natural Language Toolkit,Steven Bird,53.65,2009-08-04,O'Reilly Media,4.4,186
764573713,Databases & Big Data,Data Modeling & Design,978-1617295980,"Beginning Relational Data Modeling, Second Edition",Sharon Allen,53.64,2005-03-25,Apress,4.1,21
396730020X,Programming Languages,Python,978-1108842143,Natural Language Processing with Python: Analyzing Text with the Natural Language Toolkit,Steven Bird,53.57,2009-08-04,O'Reilly Media,4.4,186
1032260157,Databases & Big Data,SQL,978-1032475929,SQL Cookbook: Query Solutions and Techniques for All SQL Users,Anthony Molinaro,53.56,2020-12-08,O'Reilly Media,4.6,142
1491901632,Databases & Big Data,SQL,978-0072230536,SQL Cookbook: Query Solutions and Techniques for All SQL Users,Anthony Molinaro,53.56,2020-12-08,O'Reilly Media,4.6,142
1491948965,Programming Languages,Python,978-1617295324,Data Structures and Algorithms with Python (Undergraduate Topics in Computer Science),Kent D. Lee,53.46,2015-01-22,Springer,4.4,30
1493938436,Programming Languages,Python,978-1803230634,Python: The Complete Reference,Martin C. Brown,53.22,2001-09-21,McGraw Hill TAB,4.2,556
367277980,Databases & Big Data,Data Modeling & Design,978-1670841216,Data Modeling Made Simple with Embarcadero ER/Studio Data Architect: Adapting to Agile Data Modeling in a Big Data World,Steve Hoberman,53.21,2015-11-06,Technics Publications,3.2,5
1484228448,Databases & Big Data,Data Mining,978-1292155517,Outlier Analysis,Charu C. Aggarwal,53.15,2016-12-22,Springer,4.3,35
1801816069,Security & Encryption,Privacy & Online Safety,978-1398602946,"Hacking Exposed Web Applications, Third Edition",Joel Scambray,53,2010-11-05,McGraw Hill TAB,4.1,23
180323542X,Computer Science,Information Theory,978-1788393720,System Evaluation Theory: A Blueprint for Practitioners Evaluating Complex Interventions Operating and Functioning as Systems (Evaluation and Society),Ralph Renger,52.99,2022-09-01,Information Age Publishing,3,2
1492082791,Programming Languages,Python,978-0596515171,Interpretable AI: Building explainable machine learning systems,Ajay Thampi,52.99,2022-07-05,Manning,4.7,4
253060494,Databases & Big Data,Data Mining,978-1593276409,"Cassandra: The Definitive Guide, (Revised) Third Edition: Distributed Data at Web Scale",Jeff Carpenter,52.99,2022-03-01,O'Reilly Media,5,7
521780195,Computer Science,AI & Machine Learning,978-0470177075,Practical Machine Learning for Computer Vision: End-to-End Machine Learning for Images,Valliappa Lakshmanan,52.99,2021-08-24,O'Reilly Media,4.2,22
1479274836,Computer Science,AI & Machine Learning,978-0321197849,Reliable Machine Learning: Applying SRE Principles to ML in Production,Cathy Chen,52.99,2022-10-25,O'Reilly Media,4.6,10
1801079250,Programming Languages,Java,978-1260469776,Head First Android Development: A Learner's Guide to Building Android Apps with Kotlin,Dawn Griffiths,52.99,2021-12-21,O'Reilly Media,4.5,33
78824338,Computer Science,AI & Machine Learning,978-0691233734,"Patterns, Predictions, and Actions: Foundations of Machine Learning",Moritz Hardt,52.99,2022-10-18,Princeton University Press,4.5,8
1466585188,Computer Science,Computer Simulation,978-1107057135,Ab Initio Molecular Dynamics: Basic Theory and Advanced Methods,Jürg Hutter,52.98,2012-11-26,Cambridge University Press,4.7,13
1098110005,Programming Languages,Python,979-8375026541,Pandas in Action,Boris Paskhaver,52.91,2021-10-05,Manning,5,10
981154493X,Security & Encryption,Cryptography,978-9332582705,"Applied Cryptography in Computer and Communications: Second EAI International Conference, AC3 2022, Virtual Event, May 14-15, 2022, Proceedings (Lecture ... Telecommunications Engineering Book 448)",Jingqiang Lin,52.87,2022-10-05,Springer,0,0
1786343347,Programming Languages,Python,978-0136520238,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,52.82,2019-10-15,O'Reilly Media,4.8,3185
1982177829,Programming Languages,Python,978-1098107109,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,52.82,2019-10-15,O'Reilly Media,4.8,3189
1292263350,Databases & Big Data,Oracle,978-0596153816,Oracle Database 12c DBA Handbook (Oracle Press),Bob Bryla,52.69,2015-06-24,McGraw Hill TAB,4.2,39
387950729,Databases & Big Data,Oracle,978-1617296161,Pro Oracle Application Express (Expert's Voice in Oracle),John Scott,52.67,2008-09-16,Apress,4,15
161729988X,Computer Science,Bioinformatics,978-1484239124,Business Intelligence Guidebook: From Data Integration to Analytics,Rick Sherman,52.63,2014-11-21,Morgan Kaufmann,4.4,98
760378045,Computer Science,Bioinformatics,978-1491972731,"Semi-Markov Chains and Hidden Semi-Markov Models toward Applications: Their Use in Reliability and DNA Analysis (Lecture Notes in Statistics, 191)",Nikolaos Limnios,52.58,2008-08-28,Springer,0,0
321240995,Web Development & Design,User Experience & Usability,978-0634066511,About Face 3: The Essentials of Interaction Design,Alan Cooper,52.54,2007-05-07,Wiley,4.3,64
1506363121,Computer Science,Systems Analysis & Design,978-1491919538,"ASP.NET Core in Action, Second Edition",Andrew Lock,52.5,2021-04-13,Manning,4.6,30
B08BWRBPXT,Databases & Big Data,Data Modeling & Design,978-1098107635,"The Data Model Resource Book, Vol. 1: A Library of Universal Data Models for All Enterprises",Len Silverston,52.45,2001-03-06,Wiley,4.3,71
1492090794,Programming Languages,CSS,978-1801073837,"Learning Web Design: A Beginner's Guide to HTML, CSS, JavaScript, and Web Graphics",Jennifer Robbins,52.44,2018-06-19,O'Reilly Media,4.6,601
134540565,Web Development & Design,User Experience & Usability,978-1492087830,Designing Virtual Reality Systems: The Structured Approach,Gerard Kim,52.39,2005-09-08,Springer,4.5,2
1617295566,Programming Languages,C & C++,979-8550780220,C++20 for Programmers: An Objects-Natural Approach (Deitel Developer Series),Paul Deitel,52.31,2022-04-16,Pearson,4.3,25
374189900,Computer Science,Information Theory,978-1839381126,Database Design for Mere Mortals: A Hands-On Guide to Relational Database Design,Michael Hernandez,52.24,2013-02-14,Addison-Wesley Professional,4.4,216
1107123526,Databases & Big Data,Data Modeling & Design,978-1804610305,Database Design for Mere Mortals: A Hands-On Guide to Relational Database Design,Michael Hernandez,52.24,2013-02-14,Addison-Wesley Professional,4.4,216
1108473806,Security & Encryption,Hacking,978-1680502688,"Tactical Wireshark: A Deep Dive into Intrusion Analysis, Malware Incidents, and Extraction of Forensic Evidence",Kevin Cardwell,52.24,2023-05-05,Apress,0,0
1565926978,Databases & Big Data,Data Processing,978-1484260708,Spreadsheet Applications in Chemistry Using Microsoft Excel: Data Processing and Visualization,Aoife Morrin,52.24,2022-09-14,Wiley,5,2
134743350,Programming Languages,Java,978-0387946764,Spring Batch in Action,Arnaud Cogoluegnes,52.06,2011-10-10,Manning,4.4,15
1305857992,Computer Science,Information Theory,978-1801078214,Introducing Monte Carlo Methods with R (Use R!),George Casella,52.03,2009-12-10,Springer,3.9,23
1890774952,Programming Languages,Python,978-0387242460,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",Robert Johansson,51.99,2018-12-25,Apress,4.4,119
300179359,Programming Languages,C & C++,978-1718501188,C++ Software Design: Design Principles and Patterns for High-Quality Software,Klaus Iglberger,51.99,2022-10-25,O'Reilly Media,4.7,22
764549758,Web Development & Design,Programming,978-1098104351,Kubernetes: Up and Running: Dive into the Future of Infrastructure,Brendan Burns,51.99,2022-09-06,O'Reilly Media,4.3,21
998544019,Databases & Big Data,Data Modeling & Design,978-1013689192,Practical Time Series Analysis: Prediction with Statistics and Machine Learning,Aileen Nielsen,51.99,2019-11-05,O'Reilly Media,4.1,127
1492051136,Programming Languages,C & C++,978-1617291838,C++ Software Design: Design Principles and Patterns for High-Quality Software,Klaus Iglberger,51.99,2022-10-25,O'Reilly Media,4.7,21
72226803,Web Development & Design,Web Services,978-1788626507,"Docker on Amazon Web Services: Build, deploy, and manage your container applications at scale",Justin Menga,51.99,2018-08-30,Packt Publishing,4.5,12
321463048,Programming Languages,Python,978-1789805864,Learning pandas - Second Edition: High performance data manipulation and analysis using Python,Michael Heydt,51.99,2017-06-30,Packt Publishing,4,4
321934504,Programming Languages,Python,978-1801812870,"Hands-On Explainable AI (XAI) with Python: Interpret, visualize, explain, and integrate reliable AI for fair, secure, and trustworthy AI apps",Denis Rothman,51.99,2020-07-31,Packt Publishing,3.8,27
367477963,Programming Languages,Python,978-3319178516,"Julia 1.0 Programming Complete Reference Guide: Discover Julia, a high-performance language for technical computing",Ivo Balbaert,51.99,2019-05-20,Packt Publishing,3.4,6
596007825,Databases & Big Data,Data Processing,978-0977140077,"MATLAB for Machine Learning: Practical examples of regression, clustering and neural networks",Giuseppe Ciaburro,51.99,2017-08-28,Packt Publishing,4.2,22
750990953,Web Development & Design,Programming,978-0134655536,"Learn WinUI 3.0: Leverage the power of WinUI, the future of native Windows application development",Alvin Ashcraft,51.99,2021-03-26,Packt Publishing,4,33
988336464,Databases & Big Data,Data Processing,978-1492041658,"Agile Machine Learning with DataRobot: Automate each step of the machine learning life cycle, from understanding problems to delivering value",Bipin Chadha,51.99,2021-12-24,Packt Publishing,4.8,10
1009098179,Programming Languages,Python,978-0691250144,Python Network Programming: Conquer all your networking challenges with the powerful Python language,Abhishek Ratan,51.99,2019-01-31,Packt Publishing,4.5,18
1118729277,Programming Languages,C & C++,978-1118063064,Hands-On Design Patterns with C++: Solve common C++ problems with modern design patterns and build robust applications,Fedor G. Pikus,51.99,2019-01-30,Packt Publishing,4.2,57
1118824857,Programming Languages,C & C++,978-0134195087,Hands-On GPU-Accelerated Computer Vision with OpenCV and CUDA: Effective techniques for processing complex image data in real time using GPUs,Bhaumik Vaidya,51.99,2018-09-26,Packt Publishing,4.1,17
1119457890,Databases & Big Data,Data Warehousing,978-0672337123,Mastering SAS Programming for Data Warehousing: An advanced programming guide to designing and managing Data Warehouses using SAS,Monika Wahi,51.99,2020-10-16,Packt Publishing,4.4,6
1119785324,Programming Languages,Python,978-1118739495,"Extending Power BI with Python and R: Ingest, transform, enrich, and visualize data using the power of analytical languages",Luca Zavarella,51.99,2021-11-26,Packt Publishing,4.5,29
1284056945,Databases & Big Data,Data Modeling & Design,978-0071798785,AWS Certified Machine Learning Specialty: MLS-C01 Certification Guide: The definitive guide to passing the MLS-C01 exam on the very first attempt,Somanath Nanda,51.99,2021-03-19,Packt Publishing,4.1,35
1398608157,Computer Science,Systems Analysis & Design,978-1800563353,"Learn SOLIDWORKS: Get up to speed with key concepts and tools to become an accomplished SOLIDWORKS Associate and Professional, 2nd Edition",Tayseer Almattar,51.99,2022-01-31,Packt Publishing,4.7,9
1430259205,Web Development & Design,Programming,978-1634244244,"ASP.NET Core 6 and Angular: Full-stack web development with ASP.NET 6 and Angular 13, 5th Edition",Valerio De Sanctis,51.99,2022-04-06,Packt Publishing,4.4,33
1449305024,Programming Languages,Java,978-1803239422,"Spring Security - Third Edition: Secure your web applications, RESTful services, and microservice architectures",Mick Knutson,51.99,2017-11-28,Packt Publishing,4.3,18
1449359019,Computer Science,Systems Analysis & Design,978-0596159900,"Multi-Cloud Architecture and Governance: Leverage Azure, AWS, GCP, and VMware vSphere to build effective multi-cloud solutions",Jeroen Mulder,51.99,2020-12-11,Packt Publishing,4.6,52
1484279565,Web Development & Design,Programming,978-1493990566,"PHP 8 Programming Tips, Tricks and Best Practices: A practical guide to PHP 8 features, usage changes, and advanced programming techniques",Cal Evans,51.99,2021-08-27,Packt Publishing,4.6,13
1491938927,Programming Languages,Python,978-9380931913,Learn Web Development with Python: Get hands-on with Python Programming and Django web development,Fabrizio Romano,51.99,2018-12-21,Packt Publishing,3.9,16
1492085847,Security & Encryption,Network Security,978-1838279387,Practical Hardware Pentesting: A guide to attacking embedded systems and protecting them against the most common hardware attacks,Jean-Georges Valle,51.99,2021-04-01,Packt Publishing,4.5,23
1590591348,Programming Languages,C#,978-1593278908,"Learn WinUI 3.0: Leverage the power of WinUI, the future of native Windows application development",Alvin Ashcraft,51.99,2021-03-26,Packt Publishing,4,33
1615046682,Programming Languages,C#,978-1506388151,"Mastering Windows Presentation Foundation: Build responsive UIs for desktop applications with WPF, 2nd Edition",Sheridan Yuen,51.99,2020-03-30,Packt Publishing,3.4,25
1617296147,Programming Languages,C & C++,978-0387482750,"Software Architecture with C++: Design modern systems using effective architecture concepts, design patterns, and techniques with C++20",Adrian Ostrowski,51.99,2021-04-23,Packt Publishing,4.2,53
1617296465,Databases & Big Data,Data Modeling & Design,978-1617298813,"Getting Started with Elastic Stack 8.0: Run powerful and scalable data platforms to search, observe, and secure your organization",Shay Banon,51.99,2022-03-23,Packt Publishing,4.7,17
1617296767,Programming Languages,Python,978-1914124013,Software Architecture with Python,Anand Balachandran Pillai,51.99,2017-04-28,Packt Publishing,4.1,14
